,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
104,Selangor,P.105 Petaling Jaya,6,Lee Chean Chung,LEE CHEAN CHUNG,41,male,chinese,PAKATAN HARAPAN (PH),83311,1,won,1,PH,52.01477057,32.37133548,14.74344155,0.870452395
105,Selangor,P.106 Damansara,1,Gobind Singh Deo,GOBIND SINGH DEO,49,male,other,PAKATAN HARAPAN (PH),142875,1,won,0,PH,33.70843334,57.75708804,7.675745185,0.858733431
106,Selangor,P.107 Sungai Buloh,6,Ramanan Ramakrishnan,RAMANAN RAMAKRISHNAN,41,male,indian,PAKATAN HARAPAN (PH),50943,1,won,1,PH,71.15021153,20.68615916,7.60257341,0.561055899
107,Selangor,P.108 Shah Alam,1,Azli Bin Yusof,AZLI YUSOF,55,male,bumiputera,PAKATAN HARAPAN (PH),61409,1,won,1,PH,74.53255964,17.02880281,7.967998555,0.470639
108,Selangor,P.109 Kapar,4,Halimah Ali,DR HALIMAH ALI,62,female,bumiputera,PERIKATAN NASIONAL (PN),65751,1,won,1,PN,77.93117976,10.69362924,10.8803536,0.494837411
109,Selangor,P.110 Klang,6,Ganabatirau A/L Veraman,GANABATIRAU A/L VERAMAN,49,male,bumiputera,PAKATAN HARAPAN (PH),115539,1,won,1,PH,41.07562617,37.31458215,20.14597626,1.463815426
110,Selangor,P.111 Kota Raja,5,Mohamad Bin Sabu,MOHD SABU,68,male,bumiputera,PAKATAN HARAPAN (PH),123306,1,won,0,PH,50.5234651,26.39938696,22.52278023,0.554367708
111,Selangor,P.112 Kuala Langat,4,Ahmad Yunus Bin Hairi,DR AHMAD YUNUS HAIRI,57,male,bumiputera,PERIKATAN NASIONAL (PN),52867,1,won,1,PN,67.28414271,19.93935979,12.40475029,0.371747212
112,Selangor,P.113 Sepang,4,Raj Munni Binti Sabu,AIMAN ATHIRAH,50,female,bumiputera,PAKATAN HARAPAN (PH),56264,1,won,1,PH,71.25410272,18.44662999,9.417182877,0.882084412
113,W.P. Kuala Lumpur,P.114 Kepong,4,Lim Lip Eng,LIM LIP ENG,50,male,chinese,PAKATAN HARAPAN (PH),64308,1,won,0,PH,20.17352841,72.92843371,6.32641488,0.571623001
114,W.P. Kuala Lumpur,P.115 Batu,3,Prabakaran A/L M Parameswaran,PRABAKARAN PARAMESWARAN,26,male,indian,PAKATAN HARAPAN (PH),45716,1,won,0,PH,56.58838802,30.08878792,12.87308892,0.449735143
