,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
472,Selangor,P.107 Sungai Buloh,6,Ramanan Ramakrishnan,RAMANAN RAMAKRISHNAN,41,male,indian,PAKATAN HARAPAN (PH),50943,1,won,1,PH,129639,39.29604517,71.15021153,4,1.6,Won
474,Selangor,P.108 Shah Alam,1,Azli Bin Yusof,AZLI YUSOF,55,male,bumiputera,PAKATAN HARAPAN (PH),61409,1,won,1,PH,135770,45.23016867,74.53255964,3.8,0.3,Won
484,Selangor,P.109 Kapar,7,Abdullah Sani Bin Abdul Hamid,ABDULLAH SANI,60,male,bumiputera,PAKATAN HARAPAN (PH),53969,0,lost,0,PH,158030,34.15111055,77.93117976,4.4,2.8,Lost
490,Selangor,P.110 Klang,6,Ganabatirau A/L Veraman,GANABATIRAU A/L VERAMAN,49,male,bumiputera,PAKATAN HARAPAN (PH),115539,1,won,1,PH,163905,70.49144321,41.07562617,4.6,1.4,Won
496,Selangor,P.111 Kota Raja,5,Mohamad Bin Sabu,MOHD SABU,68,male,bumiputera,PAKATAN HARAPAN (PH),123306,1,won,0,PH,197740,62.35764135,50.5234651,3.6,1.7,Won
505,Selangor,P.112 Kuala Langat,6,G.Manivannan A/L Gowindasamy,MANIVANAN GOWIN,47,male,indian,PAKATAN HARAPAN (PH),51034,0,lost,0,PH,123860,41.2029711,67.28414271,3.4,2.6,Lost
509,Selangor,P.113 Sepang,4,Raj Munni Binti Sabu,AIMAN ATHIRAH,50,female,bumiputera,PAKATAN HARAPAN (PH),56264,1,won,1,PH,137955,40.78431373,71.25410272,3.6,0.7,Won
517,W.P. Kuala Lumpur,P.114 Kepong,4,Lim Lip Eng,LIM LIP ENG,50,male,chinese,PAKATAN HARAPAN (PH),64308,1,won,0,PH,72319,88.92268975,20.17352841,4.7,0,Won
521,W.P. Kuala Lumpur,P.115 Batu,3,Prabakaran A/L M Parameswaran,PRABAKARAN PARAMESWARAN,26,male,indian,PAKATAN HARAPAN (PH),45716,1,won,0,PH,87146,52.45909164,56.58838802,4.8,0.3,Won
529,W.P. Kuala Lumpur,P.116 Wangsa Maju,1,Zahir Bin Hassan,ZAHIR HASSAN,63,male,bumiputera,PAKATAN HARAPAN (PH),46031,1,won,1,PH,92740,49.63446194,61.65203675,3.4,0,Won
